criteriaId,indicatorIndex,subIndex,name,alias,helpText,requiresEvidence
75,5,17,The approximate daily travel distance of a vehicle inside your campus only (in Kilometers),La distancia diaria aproximada de viaje de un vehículo dentro de su campus únicamente (en kilómetros),Texto de Ayuda,f
76,5,18,"Planning, implementation, monitoring and/or evaluation of all programs related to Transportation through the utilization of Information and Communication Technology (ICT)","Planificación, implementación, seguimiento y/o evaluación de todos los programas relacionados con el Transporte mediante la utilización de Tecnologías de la Información y las Comunicaciones (TIC)",Texto de Ayuda,t
77,6,1,Number of courses/subjects related to sustainability offerred,Número de cursos/materias relacionadas con la sostenibilidad ofertadas,Texto de Ayuda,t
78,6,2,Total number of courses/subjects offered,Número total de cursos/materias ofrecidas,Texto de Ayuda,t
79,6,3,The ratio of sustainability courses to total courses/subjects,La proporción de cursos de sostenibilidad con respecto al total de cursos/asignaturas.,Texto de Ayuda,f
80,6,4,Total research funds dedicated to sustainability research (in US Dollars),Fondos totales de investigación dedicados a la investigación sobre sostenibilidad (en dólares estadounidenses),Texto de Ayuda,t
81,6,5,Total research funds (in US Dollars),"
Fondos totales de investigación (en dólares estadounidenses)",Texto de Ayuda,t
82,6,6,The ratio of sustainability research funding to total research funding,"
La relación entre la financiación de la investigación sobre sostenibilidad y la financiación total de la investigación",Texto de Ayuda,f
83,6,7,Number of scholarly publications on sustainability,Número de publicaciones académicas sobre sostenibilidad,Texto de Ayuda,t
84,6,8,Number of events related to sustainability (environment),"
Número de eventos relacionados con la sostenibilidad (medio ambiente)",Texto de Ayuda,t
85,6,9,Number of activities organized by student organizations related to sustainability per year,Número de actividades organizadas por organizaciones estudiantiles relacionadas con la sostenibilidad por año,Texto de Ayuda,t
86,6,10,University-run sustainability website,Sitio web de sostenibilidad gestionado por la universidad,Texto de Ayuda,f
87,6,11,Sustainability website address (URL) if available,"
Dirección del sitio web de sostenibilidad (URL), si está disponible",Texto de Ayuda,f
88,6,12,Sustainability report,Reporte de Sostenibilidad,Texto de Ayuda,t
89,6,13,Sustainability report link address (URL) if available,"
Dirección del enlace del informe de sostenibilidad (URL), si está disponible",Texto de Ayuda,f
90,6,14,Number of cultural activities on campus,Número de actividades culturales en el campus,Texto de Ayuda,t
91,6,15,Number of university sustainability program(s) with international collaborations,"
Número de programas universitarios de sostenibilidad con colaboraciones internacionales",Texto de Ayuda,t
92,6,16,Number of community services related to sustainability organized by university and involving students,Número de servicios comunitarios relacionados con la sostenibilidad organizados por universidad y que involucran a estudiantes,Texto de Ayuda,t
93,6,17,Number of sustainability-related startups,"
Número de startups relacionadas con la sostenibilidad",Texto de Ayuda,t
94,6,18,Total number of graduates with green jobs,"
Número total de graduados con empleos verdes",Texto de Ayuda,f
95,6,19,Availability of unit(s) or office(s) that coordinate sustainability on campus,"
Disponibilidad de unidad(es) u oficina(s) que coordinen la sostenibilidad en el campus",Texto de Ayuda,t
96,6,20,"Planning, implementation, monitoring and/or evaluation of university governance through the utilization of Information and Communication Technology (ICT)","
Planificación, implementación, seguimiento y/o evaluación de la gobernanza universitaria mediante la utilización de Tecnologías de la Información y las Comunicaciones (TIC)",Texto de Ayuda,t
97,7,1,Test Name 1,Nombre Prueba 1,Texto de Ayuda,t
98,7,2,Test Name 2,Nombre Prueba 2,Texto de Ayuda,t
99,7,3,Test Name 3,Nombre Prueba 3,Texto de Ayuda,t
100,7,4,Test Name 4,Nombre Prueba 4,Texto de Ayuda,t
